Date,West,Midwest,South,Northeast
201306,3.20,3.46,3.44,3.37
201307,3.18,3.56,4.00,3.09
201308,3.89,3.44,4.27,3.29
201309,3.42,3.25,3.51,3.97
201310,3.33,3.00,3.17,3.62
201311,3.40,3.05,3.47,3.16
201312,3.37,3.00,3.63,3.29
201401,3.06,3.05,3.30,3.00
201402,3.09,3.29,3.20,3.10
201403,3.70,3.11,3.61,3.00
201404,3.26,3.26,3.49,3.00
201405,3.63,3.26,3.11,3.00
201406,3.55,3.16,3.44,3.26
201407,3.40,3.22,3.22,3.05
201408,3.06,3.00,3.29,3.05
201409,3.36,3.00,3.02,3.00
201410,3.20,3.09,3.03,2.83
201411,3.42,3.00,3.03,3.10
201412,3.02,3.29,2.83,3.09
201501,3.03,3.00,3.00,3.10
201502,2.88,3.18,3.00,3.02
201503,2.98,3.00,2.92,2.61
201504,2.97,3.00,2.98,2.80
201505,3.00,3.00,2.91,2.65
201506,2.98,3.22,3.00,2.63
201507,3.00,3.02,2.54,2.95
201508,2.98,3.10,2.71,2.26
201509,3.00,2.77,2.97,2.24
201510,2.98,2.71,3.00,2.13
201511,3.00,2.62,2.59,2.53
201512,2.45,3.00,3.00,2.60
201601,2.45,2.59,2.42,2.19
201602,2.77,2.98,2.45,2.54
201603,2.69,2.50,2.68,2.00
201604,2.98,2.79,2.60,2.89
201605,2.80,2.46,2.98,2.32
201606,3.00,2.91,2.58,2.98
201607,2.59,2.36,2.45,2.98
201608,2.71,2.71,2.62,2.81
201609,2.62,2.81,2.55,2.62
201610,2.53,2.37,2.42,3.00
201611,2.54,3.02,2.37,2.98
201612,3.00,2.81,2.71,2.86
201701,2.88,3.00,2.74,2.90
201702,3.00,3.02,2.88,2.90
201703,2.98,2.74,2.37,2.78
201704,3.05,2.52,2.70,2.83
201705,2.98,2.21,2.53,2.31
201706,3.05,2.66,2.54,2.52
201707,3.02,2.38,2.62,2.45
201708,2.98,2.32,2.71,2.19
201709,2.85,2.50,2.97,2.45
201710,2.97,2.54,2.98,2.44
201711,3.00,2.52,3.00,2.56
201712,2.88,2.81,3.00,2.72
201801,2.91,2.62,2.85,2.71
201802,3.00,2.81,2.65,2.98
201803,3.00,2.97,2.61,3.00
201804,3.00,2.89,2.76,2.98
201805,2.98,3.00,2.89,2.99
201806,3.00,2.79,2.98,3.00
201807,2.98,2.90,2.79,2.81
201808,3.00,3.00,2.83,3.00
201809,3.00,2.98,3.00,2.88
201810,3.00,3.00,2.79,3.05
201811,2.97,2.97,2.67,2.97
201812,2.79,2.96,3.00,2.98
201901,3.00,2.79,2.98,2.79
201902,2.98,2.61,2.82,2.59
201903,3.00,2.43,3.00,2.51
201904,2.97,2.54,2.70,2.62
201905,2.86,2.17,2.59,2.50
201906,2.67,2.41,2.56,3.00
201907,2.75,2.80,2.37,2.71
201908,2.47,2.54,2.19,2.76
201909,2.19,2.19,2.45,2.83
201910,2.52,2.08,2.19,3.00
201911,2.81,2.27,2.11,2.89
201912,2.79,2.46,2.54,2.68
202001,2.66,2.31,2.55,2.76
202002,2.42,2.31,2.91,2.38
202003,2.54,2.45,2.50,2.00
202004,2.81,2.49,2.91,2.17
202005,2.53,2.25,2.83,2.70
202006,2.45,2.09,2.73,2.54
202007,2.28,2.71,2.90,2.71
202008,2.87,2.98,2.98,3.00
202009,2.71,2.71,2.78,2.78
202010,2.76,2.70,2.92,2.37
202011,2.79,2.45,3.10,2.61
202012,2.96,2.79,3.00,3.00
202101,2.99,3.05,3.05,3.23
202102,3.00,2.97,3.05,3.03
202103,3.05,3.21,3.05,3.42
202104,2.91,3.21,3.10,3.42
202105,3.75,3.20,4.42,3.05
202106,3.47,4.00,3.75,3.00
202107,3.63,4.00,4.00,3.00
202108,3.90,4.23,4.01,3.02
202109,3.75,4.50,4.75,3.07
202110,3.77,5.05,4.21,3.38
202111,4.00,4.26,4.76,3.29
202112,4.46,3.81,4.38,3.77
202201,3.02,3.95,3.58,3.79
202202,3.30,3.49,4.26,3.60
202203,3.05,3.50,3.77,4.49
202204,3.11,3.65,4.56,4.36
202205,4.00,3.74,3.37,4.86
202206,4.91,3.15,3.26,3.58
202207,3.02,3.00,3.43,3.43
202208,2.81,2.51,2.52,2.99
202209,3.17,2.09,2.59,3.05
202210,3.05,3.00,3.42,3.00
202211,3.54,2.68,2.77,3.02
202212,3.00,2.54,3.00,3.00
202301,2.79,2.52,2.54,2.84
202302,2.74,1.57,2.91,2.98
202303,2.59,2.08,3.00,3.00
202304,2.44,2.80,3.00,3.03
202305,2.69,2.74,2.98,3.27
202306,2.27,2.40,2.98,3.13
202307,2.58,2.72,3.00,3.00
202308,2.27,2.67,3.12,2.97
202309,3.00,3.00,3.02,3.00
202310,3.00,3.05,2.75,3.00
202311,2.97,2.61,3.00,3.49
202312,2.45,2.53,2.63,2.78
202401,2.54,2.37,2.00,2.72
202402,2.56,2.59,2.80,2.99
202403,2.81,2.45,2.90,3.00
202404,3.00,2.31,3.00,2.61
202405,2.91,2.63,2.71,2.85
202406,2.98,2.71,2.88,3.00
202407,2.21,1.65,2.37,2.62
202408,2.88,1.76,2.37,3.00
202409,2.61,2.00,2.86,2.71
202410,2.98,1.19,2.54,2.81
202411,3.20,2.59,2.08,2.00
202412,3.32,2.82,2.75,3.00
202501,3.63,2.62,2.87,2.19
202502,3.51,3.00,2.76,2.42
202503,3.53,3.18,3.00,2.54
202504,3.54,3.23,3.00,3.26